Recursion Trace Log — RioClaroPostToy_100_0 k=7
======================================================================

  depth            label      n     k  clusters  allocs
  -----------------------------------------------------------------
      0              C>k    100     7        10  [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
      1              k=1     10     1         4  [1, 1, 1, 1]
      2          leaf-bf      3     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      2          leaf-bf      2     1         1  [1]
      2          leaf-bf      2     1         1  [1]
      1              k=1     16     1         4  [1, 1, 1, 1]
      2              k=1      5     1         3  [1, 1, 1]
      3          leaf-bf      2     1         1  [1]
      3          leaf-bf      2     1         1  [1]
      3      leaf-single      1     1         1  [1]
      2          leaf-bf      4     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      2          leaf-bf      4     1         1  [1]
      1              k=1     11     1         4  [1, 1, 1, 1]
      2          leaf-bf      2     1         1  [1]
      2          leaf-bf      2     1         1  [1]
      2              k=1      5     1         3  [1, 1, 1]
      3          leaf-bf      2     1         1  [1]
      3      leaf-single      1     1         1  [1]
      3          leaf-bf      2     1         1  [1]
      2          leaf-bf      2     1         1  [1]
      1              k=1     10     1         4  [1, 1, 1, 1]
      2          leaf-bf      2     1         1  [1]
      2          leaf-bf      2     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      1          leaf-bf      4     1         1  [1]
      1              k=1      6     1         3  [1, 1, 1]
      2          leaf-bf      2     1         1  [1]
      2      leaf-single      1     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      1              k=1     11     1         4  [1, 1, 1, 1]
      2          leaf-bf      3     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      2          leaf-bf      2     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      1              k=1     12     1         4  [1, 1, 1, 1]
      2              k=1      5     1         3  [1, 1, 1]
      3      leaf-single      1     1         1  [1]
      3          leaf-bf      2     1         1  [1]
      3          leaf-bf      2     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      2          leaf-bf      2     1         1  [1]
      2          leaf-bf      2     1         1  [1]
      1              k=1     10     1         4  [1, 1, 1, 1]
      2      leaf-single      1     1         1  [1]
      2          leaf-bf      2     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      2          leaf-bf      4     1         1  [1]
      1              k=1     10     1         4  [1, 1, 1, 1]
      2          leaf-bf      3     1         1  [1]
      2      leaf-single      1     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      1          recurse     10     7         4  [3, 2, 1, 1]
      2          leaf-bf      4     3         1  [3]
      2          leaf-bf      2     2         1  [2]
      2          leaf-bf      2     1         1  [1]
      2          leaf-bf      2     1         1  [1]
