Recursion Trace Log — RioClaroPostToy_50_2 k=7
======================================================================

  depth            label      n     k  clusters  allocs
  -----------------------------------------------------------------
      0              C>k     50     7         8  [1, 1, 1, 1, 1, 1, 1, 1]
      1              k=1      6     1         3  [1, 1, 1]
      2          leaf-bf      2     1         1  [1]
      2      leaf-single      1     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      1              k=1      6     1         3  [1, 1, 1]
      2          leaf-bf      2     1         1  [1]
      2          leaf-bf      2     1         1  [1]
      2          leaf-bf      2     1         1  [1]
      1              k=1     13     1         4  [1, 1, 1, 1]
      2          leaf-bf      4     1         1  [1]
      2          leaf-bf      2     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      2          leaf-bf      4     1         1  [1]
      1              k=1      7     1         3  [1, 1, 1]
      2          leaf-bf      2     1         1  [1]
      2          leaf-bf      2     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      1              k=1      5     1         3  [1, 1, 1]
      2          leaf-bf      2     1         1  [1]
      2          leaf-bf      2     1         1  [1]
      2      leaf-single      1     1         1  [1]
      1          leaf-bf      4     1         1  [1]
      1          leaf-bf      3     1         1  [1]
      1              k=1      6     1         3  [1, 1, 1]
      2          leaf-bf      2     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      2      leaf-single      1     1         1  [1]
      1          recurse      8     7         3  [2, 2, 3]
      2          leaf-bf      2     2         1  [2]
      2          leaf-bf      3     2         1  [2]
      2          leaf-bf      3     3         1  [3]
